date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:23:49	21792/21792	---M-Z	200	added ('OK')	text/html	date:Thu,%2017%20Dec%202020%2018:53:49%20GMT	https://www.qub.ac.uk/cite2write/harvard3l.html	F:/My%20Web%20Sites/Reference/www.qub.ac.uk/cite2write/harvard3l.html	(from )
00:24:00	880/880	---M-Z	200	added ('OK')	text/plain	etag:%223c6439f-d8d-5a743e90acd80%22	https://www.qub.ac.uk/robots.txt		(from )
00:24:00	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Thu,%2017%20Dec%202020%2018:54:01%20GMT	https://www.googletagmanager.com/gtm.js?id=	F:/My%20Web%20Sites/Reference/www.googletagmanager.com/gtm.15445.delayed	(from https://www.qub.ac.uk/cite2write/harvard3l.html)
00:24:01	5317/5317	---M-Z	200	added ('OK')	text/css	etag:%2214c5-5a9c5aede29c0-gzip%22	https://www.qub.ac.uk/cite2write/style.css	F:/My%20Web%20Sites/Reference/www.qub.ac.uk/cite2write/style.css	(from https://www.qub.ac.uk/cite2write/harvard3l.html)
00:24:02	9743/9743	---M-Z	200	added ('OK')	text/css	etag:%22260f-5a9c5aede29c0-gzip%22	https://www.qub.ac.uk/cite2write/jquery.qtip.min.css	F:/My%20Web%20Sites/Reference/www.qub.ac.uk/cite2write/jquery.qtip.min.css	(from https://www.qub.ac.uk/cite2write/harvard3l.html)
00:24:03	24023/24023	---M-Z	200	added ('OK')	text/css	etag:%225dd7-5a9c5aede29c0-gzip%22	https://www.qub.ac.uk/cite2write/jquery-ui-1.8.22.custom.css	F:/My%20Web%20Sites/Reference/www.qub.ac.uk/cite2write/jquery-ui-1.8.22.custom.css	(from https://www.qub.ac.uk/cite2write/harvard3l.html)
00:24:11	2723/2723	---M-Z	200	added ('OK')	text/css	etag:%22aa3-5a9c5aede29c0-gzip%22	https://www.qub.ac.uk/cite2write/coda-slider.css	F:/My%20Web%20Sites/Reference/www.qub.ac.uk/cite2write/coda-slider.css	(from https://www.qub.ac.uk/cite2write/harvard3l.html)
00:24:12	23739/23739	---M-Z	200	added ('OK')	text/css	etag:%221544639719%22	http://maxcdn.bootstrapcdn.com/font-awesome/4.3.0/css/font-awesome.min.css	F:/My%20Web%20Sites/Reference/maxcdn.bootstrapcdn.com/font-awesome/4.3.0/css/font-awesome.min.css	(from https://www.qub.ac.uk/cite2write/harvard3l.html)
00:24:15	10220/10220	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/swfobject/2.2/swfobject.js	F:/My%20Web%20Sites/Reference/ajax.googleapis.com/ajax/libs/swfobject/2.2/swfobject.js	(from https://www.qub.ac.uk/cite2write/harvard3l.html)
00:24:16	12492/12492	---M-Z	200	added ('OK')	application/javascript	etag:%2230cc-5a9c5b03d1d80-gzip%22	https://www.qub.ac.uk/cite2write/Scripts/reference-generator-harvard-isbn-doc.js	F:/My%20Web%20Sites/Reference/www.qub.ac.uk/cite2write/Scripts/reference-generator-harvard-isbn-doc.js	(from https://www.qub.ac.uk/cite2write/harvard3l.html)
00:24:17	5891/5891	---M-Z	200	added ('OK')	text/html	date:Thu,%2017%20Dec%202020%2018:54:18%20GMT	http://www.qub.ac.uk/cite2write/home.html	F:/My%20Web%20Sites/Reference/www.qub.ac.uk/cite2write/home.html	(from https://www.qub.ac.uk/cite2write/harvard3l.html)
00:24:19	94840/94840	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	http://ajax.googleapis.com/ajax/libs/jquery/1.7.2/jquery.min.js	F:/My%20Web%20Sites/Reference/ajax.googleapis.com/ajax/libs/jquery/1.7.2/jquery.min.js	(from https://www.qub.ac.uk/cite2write/harvard3l.html)
00:24:19	53665/53665	---M-Z	200	added ('OK')	application/javascript	etag:%22d1a1-5a9c5b03d1d80-gzip%22	https://www.qub.ac.uk/cite2write/Scripts/scripts.js	F:/My%20Web%20Sites/Reference/www.qub.ac.uk/cite2write/Scripts/scripts.js	(from https://www.qub.ac.uk/cite2write/harvard3l.html)
00:24:19	5140/5140	---M--	200	added ('OK')	image/png	etag:%221414-5a9c5b3380e00%22	https://www.qub.ac.uk/cite2write/images/logo.png	F:/My%20Web%20Sites/Reference/www.qub.ac.uk/cite2write/images/logo.png	(from https://www.qub.ac.uk/cite2write/harvard3l.html)
00:24:21	1765/1765	---M--	200	added ('OK')	image/png	etag:%226e5-5a9c5b0a7ed40%22	https://www.qub.ac.uk/cite2write/dev/logoText.png	F:/My%20Web%20Sites/Reference/www.qub.ac.uk/cite2write/dev/logoText.png	(from https://www.qub.ac.uk/cite2write/harvard3l.html)
00:24:24	4247/4247	---M-Z	200	added ('OK')	text/html	date:Thu,%2017%20Dec%202020%2018:54:25%20GMT	http://www.qub.ac.uk/cite2write/about.html	F:/My%20Web%20Sites/Reference/www.qub.ac.uk/cite2write/about.html	(from https://www.qub.ac.uk/cite2write/harvard3l.html)
00:24:24	3394/3394	---M-Z	200	added ('OK')	text/html	date:Thu,%2017%20Dec%202020%2018:54:25%20GMT	http://www.qub.ac.uk/cite2write/contact.html	F:/My%20Web%20Sites/Reference/www.qub.ac.uk/cite2write/contact.html	(from https://www.qub.ac.uk/cite2write/harvard3l.html)
00:24:25	5589/5589	---M-Z	200	added ('OK')	text/html	date:Thu,%2017%20Dec%202020%2018:54:26%20GMT	http://www.qub.ac.uk/cite2write/evaluation.html	F:/My%20Web%20Sites/Reference/www.qub.ac.uk/cite2write/evaluation.html	(from https://www.qub.ac.uk/cite2write/harvard3l.html)
00:24:26	12398/12398	---M-Z	200	added ('OK')	text/html	date:Thu,%2017%20Dec%202020%2018:54:27%20GMT	http://www.qub.ac.uk/cite2write/sitemap.html	F:/My%20Web%20Sites/Reference/www.qub.ac.uk/cite2write/sitemap.html	(from https://www.qub.ac.uk/cite2write/harvard3l.html)
00:24:28	5305/5305	---M-Z	200	added ('OK')	text/html	date:Thu,%2017%20Dec%202020%2018:54:29%20GMT	http://www.qub.ac.uk/cite2write/help.html	F:/My%20Web%20Sites/Reference/www.qub.ac.uk/cite2write/help.html	(from https://www.qub.ac.uk/cite2write/harvard3l.html)
00:24:28	200748/200748	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	http://ajax.googleapis.com/ajax/libs/jqueryui/1.8.23/jquery-ui.min.js	F:/My%20Web%20Sites/Reference/ajax.googleapis.com/ajax/libs/jqueryui/1.8.23/jquery-ui.min.js	(from https://www.qub.ac.uk/cite2write/harvard3l.html)
00:24:29	5071/5071	---M-Z	200	added ('OK')	text/html	date:Thu,%2017%20Dec%202020%2018:54:29%20GMT	http://www.qub.ac.uk/cite2write/introduction.html	F:/My%20Web%20Sites/Reference/www.qub.ac.uk/cite2write/introduction.html	(from https://www.qub.ac.uk/cite2write/harvard3l.html)
00:24:30	3881/3881	---M-Z	200	added ('OK')	text/html	date:Thu,%2017%20Dec%202020%2018:54:30%20GMT	http://www.qub.ac.uk/cite2write/harvard.html	F:/My%20Web%20Sites/Reference/www.qub.ac.uk/cite2write/harvard.html	(from https://www.qub.ac.uk/cite2write/harvard3l.html)
00:24:31	4923/4923	---M-Z	200	added ('OK')	text/html	date:Thu,%2017%20Dec%202020%2018:54:32%20GMT	http://www.qub.ac.uk/cite2write/harvard2.html	F:/My%20Web%20Sites/Reference/www.qub.ac.uk/cite2write/harvard2.html	(from https://www.qub.ac.uk/cite2write/harvard3l.html)
00:24:33	4814/4814	---M-Z	200	added ('OK')	text/html	date:Thu,%2017%20Dec%202020%2018:54:33%20GMT	http://www.qub.ac.uk/cite2write/harvard3.html	F:/My%20Web%20Sites/Reference/www.qub.ac.uk/cite2write/harvard3.html	(from https://www.qub.ac.uk/cite2write/harvard3l.html)
00:24:35	4787/4787	---M-Z	200	added ('OK')	text/html	date:Thu,%2017%20Dec%202020%2018:54:35%20GMT	http://www.qub.ac.uk/cite2write/harvard3b.html	F:/My%20Web%20Sites/Reference/www.qub.ac.uk/cite2write/harvard3b.html	(from https://www.qub.ac.uk/cite2write/harvard3l.html)
00:24:37	4775/4775	---M-Z	200	added ('OK')	text/html	date:Thu,%2017%20Dec%202020%2018:54:37%20GMT	http://www.qub.ac.uk/cite2write/harvard3c.html	F:/My%20Web%20Sites/Reference/www.qub.ac.uk/cite2write/harvard3c.html	(from https://www.qub.ac.uk/cite2write/harvard3l.html)
00:24:39	4797/4797	---M-Z	200	added ('OK')	text/html	date:Thu,%2017%20Dec%202020%2018:54:39%20GMT	http://www.qub.ac.uk/cite2write/harvard3d.html	F:/My%20Web%20Sites/Reference/www.qub.ac.uk/cite2write/harvard3d.html	(from https://www.qub.ac.uk/cite2write/harvard3l.html)
00:24:40	696934/696934	---M--	200	added ('OK')	image/jpeg	etag:%22aa266-5a9c5b3380e00%22	https://www.qub.ac.uk/cite2write/images/New%20Brand.jpg	F:/My%20Web%20Sites/Reference/www.qub.ac.uk/cite2write/images/New%20Brand.jpg	(from https://www.qub.ac.uk/cite2write/harvard3l.html)
